Time Elapsed (s),Total Energy,Algae Population,Algae Energy,Ciliate Population,Ciliate Energy
578,130.15100000000157,6,6,26,124.15100000000157
579,130.15100000000157,6,6,26,124.15100000000157
580,130.15100000000157,6,6,26,124.15100000000157
581,130.15100000000157,6,6,26,124.15100000000157
582,130.15100000000157,6,6,26,124.15100000000157
583,130.15100000000157,6,6,26,124.15100000000157
584,130.15100000000157,6,6,26,124.15100000000157
585,130.15100000000157,6,6,26,124.15100000000157
586,130.15100000000157,6,6,26,124.15100000000157
587,130.15100000000157,6,6,26,124.15100000000157
588,130.15100000000157,6,6,26,124.15100000000157
589,130.15100000000157,6,6,26,124.15100000000157
590,130.15100000000157,6,6,26,124.15100000000157
591,130.15100000000157,6,6,26,124.15100000000157
592,130.15100000000157,6,6,26,124.15100000000157
593,130.15100000000157,6,6,26,124.15100000000157
594,130.15100000000157,6,6,26,124.15100000000157
595,130.15100000000157,6,6,26,124.15100000000157
596,130.15100000000157,6,6,26,124.15100000000157
597,130.15100000000157,6,6,26,124.15100000000157
598,130.15100000000157,6,6,26,124.15100000000157
599,130.15100000000157,6,6,26,124.15100000000157
600,130.15100000000157,6,6,26,124.15100000000157
601,130.15100000000157,6,6,26,124.15100000000157
602,130.15100000000157,6,6,26,124.15100000000157
603,130.15100000000157,6,6,26,124.15100000000157
604,130.15100000000157,6,6,26,124.15100000000157
605,130.15100000000157,6,6,26,124.15100000000157
606,130.15100000000157,6,6,26,124.15100000000157
607,130.15100000000157,6,6,26,124.15100000000157
608,130.15100000000157,6,6,26,124.15100000000157
609,130.15100000000157,6,6,26,124.15100000000157
610,130.15100000000157,6,6,26,124.15100000000157
611,130.15100000000157,6,6,26,124.15100000000157
612,130.15100000000157,6,6,26,124.15100000000157
613,130.15100000000157,6,6,26,124.15100000000157
614,130.15100000000157,6,6,26,124.15100000000157
615,130.15100000000157,6,6,26,124.15100000000157
616,130.15100000000157,6,6,26,124.15100000000157
617,130.15100000000157,6,6,26,124.15100000000157
618,130.15100000000157,6,6,26,124.15100000000157
619,130.15100000000157,6,6,26,124.15100000000157
620,130.15100000000157,6,6,26,124.15100000000157
621,130.15100000000157,6,6,26,124.15100000000157
622,130.15100000000157,6,6,26,124.15100000000157
623,130.15100000000157,6,6,26,124.15100000000157
624,130.15100000000157,6,6,26,124.15100000000157
625,130.15100000000157,6,6,26,124.15100000000157
626,130.15100000000157,6,6,26,124.15100000000157
627,130.15100000000157,6,6,26,124.15100000000157
628,130.15100000000157,6,6,26,124.15100000000157
629,122.68100000000183,3,3,26,119.68100000000183
630,122.46500000000194,5,5,28,117.46500000000194
631,114.73500000000186,5,5,27,109.73500000000186
632,117.11800000000133,9,9,26,108.11800000000133
633,120.5580000000014,6,6,26,114.5580000000014
