Time Elapsed (s),Total Energy,Algae Population,Algae Energy,Ciliate Population,Ciliate Energy
56,198.41600000000156,99,99,12,99.41600000000156
57,201.70400000000183,97,97,13,104.70400000000181
58,203.87200000000206,90,90,14,113.87200000000205
59,208.02700000000237,89,89,15,119.02700000000237
60,212.10800000000265,91,91,16,121.10800000000265
61,216.09900000000297,95,95,17,121.09900000000297
62,221.1300000000033,96,96,17,125.13000000000328
63,222.11000000000357,93,93,17,129.11000000000357
64,226.09000000000384,93,93,17,133.09000000000384
65,228.0270000000041,92,92,19,136.0270000000041
66,222.82100000000347,84,84,22,138.82100000000347
67,227.48000000000366,73,73,23,154.48000000000366
68,223.13200000000325,62,62,22,161.13200000000325
69,225.72900000000342,51,51,25,174.72900000000342
70,229.2790000000036,46,46,25,183.2790000000036
71,230.73500000000382,44,44,27,186.73500000000382
72,238.106000000004,46,46,28,192.106000000004
73,217.52800000000258,40,40,26,177.52800000000258
74,215.91000000000238,35,35,29,180.91000000000238
75,218.0710000000026,29,29,32,189.0710000000026
76,221.1510000000027,28,28,32,193.1510000000027
77,219.34700000000203,27,27,31,192.34700000000203
78,223.47100000000222,22,22,32,201.47100000000222
79,221.52900000000236,13,13,35,208.52900000000236
80,216.40300000000207,15,15,37,201.40300000000207
81,223.20800000000213,15,15,38,208.20800000000213
82,226.90300000000227,16,16,39,210.90300000000227
83,227.53200000000237,13,13,40,214.53200000000237
84,216.16700000000213,10,10,41,206.16700000000213
85,200.79000000000138,7,7,39,193.79000000000138
86,201.41600000000147,5,5,41,196.41600000000147
87,201.95600000000155,1,1,42,200.95600000000155
88,207.38300000000157,7,7,43,200.38300000000157
89,207.75100000000165,7,7,44,200.75100000000165
90,214.15800000000166,10,10,43,204.15800000000166
91,203.58100000000144,7,7,43,196.58100000000144
92,206.97000000000133,4,4,43,202.97000000000133
93,203.42600000000178,3,3,42,200.42600000000178
94,191.93400000000096,4,4,41,187.93400000000096
95,194.556000000001,2,2,41,192.556000000001
96,199.07400000000106,7,7,42,192.07400000000106
97,204.59600000000108,4,4,42,200.59600000000108
98,205.00200000000126,4,4,43,201.00200000000126
99,194.544,10,10,40,184.544
100,165.2950000000001,6,6,36,159.2950000000001
101,168.0990000000002,4,4,36,164.0990000000002
102,156.9570000000006,5,5,35,151.9570000000006
103,153.89299999999957,6,6,35,147.89299999999957
104,151.8329999999996,5,5,34,146.8329999999996
105,151.77399999999994,8,8,33,143.77399999999994
106,147.92799999999997,9,9,31,138.92799999999997
107,141.1149999999997,4,4,30,137.1149999999997
108,122.42499999999933,7,7,26,115.42499999999933
109,129.89099999999925,7,7,26,122.89099999999925
110,133.34499999999915,4,4,27,129.34499999999915
111,126.76399999999957,4,4,27,122.76399999999957
112,123.17499999999998,2,2,26,121.17499999999998
113,114.6869999999996,5,5,24,109.6869999999996
114,113.32099999999917,10,10,23,103.32099999999917
115,113.9779999999993,9,9,22,104.9779999999993
116,120.65799999999928,8,8,22,112.65799999999928
117,113.39499999999934,12,12,20,101.39499999999934
118,105.26599999999962,12,12,19,93.26599999999962
119,97.11799999999947,8,8,19,89.11799999999947
120,93.02299999999948,10,10,18,83.02299999999948
121,90.97899999999947,11,11,17,79.97899999999947
122,96.9929999999994,10,10,17,86.9929999999994
123,102.98999999999931,7,7,17,95.98999999999931
124,104.9459999999992,7,7,18,97.9459999999992
125,104.93499999999949,11,11,16,93.93499999999949
126,101.95899999999952,9,9,17,92.95899999999952
127,104.48199999999946,11,11,18,93.48199999999946
128,104.48199999999946,11,11,18,93.48199999999946
129,104.48199999999946,11,11,18,93.48199999999946
130,104.48199999999946,11,11,18,93.48199999999946
131,104.48199999999946,11,11,18,93.48199999999946
132,104.48199999999946,11,11,18,93.48199999999946
133,106.0139999999994,10,10,18,96.0139999999994
134,103.97899999999932,10,10,17,93.97899999999932
135,103.94699999999924,9,9,18,94.94699999999924
136,100.9029999999995,8,8,17,92.9029999999995
137,105.9339999999995,7,7,17,98.9339999999995
138,101.97599999999929,8,8,17,93.97599999999929
139,104.04099999999943,6,6,17,98.04099999999943
140,101.10999999999927,6,6,16,95.10999999999927
141,102.11799999999943,5,5,17,97.11799999999943
142,106.13200000000003,10,10,16,96.13200000000003
143,106.18700000000045,12,12,16,94.18700000000045
144,110.2590000000006,10,10,16,100.2590000000006
145,105.26200000000054,7,7,17,98.26200000000054
146,106.16300000000062,9,9,20,97.16300000000062
147,110.98300000000067,9,9,20,101.98300000000067
148,111.76800000000082,8,8,21,103.76800000000082
149,120.54800000000097,11,11,21,109.54800000000097
150,122.35800000000101,13,13,20,109.35800000000101
151,130.15800000000115,10,10,20,120.15800000000115
152,125.01400000000089,6,6,19,119.01400000000089
153,124.843000000001,4,4,20,120.843000000001
154,119.6280000000008,7,7,20,112.6280000000008
155,124.43700000000084,7,7,21,117.43700000000084
156,126.17400000000083,7,7,22,119.17400000000083
157,129.86500000000095,7,7,23,122.86500000000095
158,122.57600000000048,4,4,22,118.57600000000048
159,119.24500000000029,4,4,22,115.24500000000029
160,111.91700000000047,4,4,22,107.91700000000047
161,121.61900000000054,7,7,22,114.61900000000054
162,127.28500000000061,11,11,23,116.28500000000061
163,131.9490000000006,12,12,23,119.94900000000061
164,133.52600000000007,12,12,23,121.52600000000007
165,135.0910000000001,6,6,25,129.0910000000001
166,126.59199999999977,7,7,26,119.59199999999977
167,120.07799999999948,5,5,25,115.07799999999948
168,123.6279999999995,6,6,25,117.6279999999995
169,117.11699999999917,1,1,24,116.11699999999917
170,110.7519999999993,3,3,23,107.7519999999993
171,119.37199999999922,6,6,23,113.37199999999922
172,115.00699999999897,8,8,23,107.00699999999897
173,117.62699999999899,3,3,23,114.62699999999899
174,113.23299999999905,6,6,23,107.23299999999905
175,117.85299999999903,4,4,23,113.85299999999903
176,122.49599999999904,4,4,23,118.49599999999904
177,117.16899999999886,7,7,22,110.16899999999886
178,117.86299999999929,12,12,22,105.86299999999929
179,112.5979999999992,10,10,21,102.5979999999992
180,99.46299999999916,7,7,19,92.46299999999916
181,101.32299999999911,3,3,19,98.32299999999911
182,98.23099999999938,6,6,18,92.23099999999938
183,97.18599999999932,7,7,17,90.18599999999932
184,101.15399999999934,6,6,18,95.15399999999934
185,103.1279999999993,6,6,18,97.1279999999993
186,102.07099999999942,8,8,17,94.07099999999942
187,105.0509999999994,5,5,17,100.0509999999994
188,103.06299999999939,8,8,17,95.06299999999939
189,97.04699999999941,8,8,18,89.04699999999941
190,93.00099999999922,10,10,17,83.00099999999922
191,95.00599999999922,11,11,16,84.00599999999922
192,90.02899999999967,9,9,16,81.02899999999967
193,86.08799999999972,11,11,15,75.08799999999972
194,92.20299999999979,7,7,15,85.20299999999979
195,103.30299999999991,13,13,15,90.30299999999991
196,102.44699999999982,12,12,14,90.44699999999982
197,97.64899999999986,12,12,13,85.64899999999986
198,84.868,7,7,13,77.868
199,85.11799999999992,15,15,12,70.11799999999992
200,75.47800000000007,12,12,11,63.47800000000006
201,74.8060000000001,9,9,12,65.8060000000001
202,81.05900000000013,12,12,13,69.05900000000013
203,88.27900000000017,15,15,13,73.27900000000017
204,96.49900000000024,14,14,13,82.49900000000024
205,102.66300000000021,21,21,14,81.66300000000021
206,104.82700000000033,18,18,15,86.82700000000033
207,111.94200000000045,14,14,15,97.94200000000045
208,112.09800000000048,17,17,14,95.09800000000048
209,114.2440000000006,12,12,14,102.2440000000006
210,117.43200000000076,15,15,14,102.43200000000076
211,122.59200000000094,16,16,14,106.59200000000094
212,119.78800000000068,13,13,13,106.78800000000068
213,117.88400000000085,13,13,17,104.88400000000085
214,121.88100000000102,11,11,17,110.88100000000102
215,122.80000000000106,9,9,19,113.80000000000106
216,123.61000000000122,5,5,21,118.61000000000122
217,126.36900000000136,5,5,23,121.36900000000136
218,121.04200000000124,5,5,22,116.04200000000124
219,122.65700000000133,4,4,24,118.65700000000133
220,127.2650000000015,6,6,24,121.2650000000015
221,127.81200000000163,7,7,25,120.81200000000163
222,120.39800000000153,9,9,25,111.39800000000153
223,111.03100000000082,12,12,23,99.03100000000082
224,115.65100000000092,12,12,23,103.65100000000092
225,112.29700000000085,8,8,22,104.29700000000085
226,117.94000000000105,8,8,23,109.94000000000105
227,118.58300000000118,4,4,23,114.58300000000118
228,126.1840000000013,8,8,24,118.1840000000013
229,131.69200000000134,12,12,25,119.69200000000134
230,133.1910000000014,9,9,26,124.19100000000141
231,129.65900000000062,11,11,25,118.6590000000006
232,126.21500000000022,12,12,24,114.21500000000022
233,127.76400000000018,7,7,26,120.76400000000018
234,123.27699999999959,3,3,25,120.27699999999959
235,122.80099999999945,4,4,25,118.80099999999945
236,122.32199999999962,8,8,25,114.32199999999962
237,122.32199999999962,8,8,25,114.32199999999962
238,122.32199999999962,8,8,25,114.32199999999962
239,126.62199999999963,11,11,25,115.62199999999963
240,132.08299999999957,12,12,26,120.08299999999956
241,127.52299999999998,6,6,26,121.52299999999998
242,125.28199999999968,8,8,25,117.28199999999968
243,125.28199999999968,8,8,25,117.28199999999968
244,125.28199999999968,8,8,25,117.28199999999968
245,125.28199999999968,8,8,25,117.28199999999968
246,118.9129999999993,5,5,24,113.9129999999993
247,130.5209999999993,11,11,24,119.5209999999993
248,133.06799999999927,8,8,25,125.06799999999927
249,143.6179999999993,11,11,25,132.6179999999993
250,147.1409999999994,4,4,26,143.1409999999994
251,149.5559999999994,2,2,27,147.5559999999994
252,135.98599999999914,6,6,26,129.98599999999914
253,128.50999999999914,6,6,24,122.50999999999915
254,128.0949999999993,4,4,23,124.09499999999927
255,123.76999999999927,5,5,23,118.76999999999927
256,108.48899999999917,9,9,20,99.48899999999917
257,109.32199999999901,7,7,19,102.32199999999901
258,105.25999999999927,5,5,18,100.25999999999927
259,102.2189999999991,5,5,17,97.2189999999991
260,98.20499999999909,6,6,16,92.20499999999909
261,101.27699999999905,6,6,16,95.27699999999905
262,96.36899999999895,7,7,15,89.36899999999895
263,102.48399999999897,9,9,15,93.48399999999897
264,104.583999999999,7,7,15,97.583999999999
265,100.68899999999907,10,10,15,90.68899999999907
266,106.78899999999902,9,9,15,97.78899999999902
267,112.88899999999907,8,8,15,104.88899999999907
268,107.05899999999899,11,11,14,96.05899999999899
269,113.21899999999901,15,15,14,98.21899999999901
270,113.40599999999931,19,19,13,94.40599999999931
271,113.57999999999946,14,14,14,99.57999999999946
272,110.71599999999977,16,16,14,94.71599999999977
273,105.92199999999961,18,18,13,87.92199999999961
274,110.14199999999973,18,18,13,92.14199999999973
275,97.41899999999966,20,20,11,77.41899999999966
276,99.69799999999987,14,14,13,85.69799999999987
277,93.95899999999989,12,12,12,81.95899999999989
278,87.27100000000021,10,10,12,77.27100000000021
279,91.47200000000035,14,14,14,77.47200000000035
280,96.63200000000055,12,12,14,84.63200000000055
281,99.76100000000066,11,11,15,88.76100000000066
282,96.91800000000052,10,10,14,86.91800000000052
283,104.07800000000063,13,13,14,91.07800000000063
284,93.27800000000043,14,14,12,79.27800000000043
285,95.5580000000005,12,12,12,83.5580000000005
286,90.88800000000042,13,13,11,77.88800000000042
287,95.22800000000056,12,12,11,83.22800000000056
288,89.57600000000058,8,8,10,81.57600000000058
289,92.97600000000065,9,9,10,83.97600000000065
290,100.37600000000076,15,15,10,85.37600000000076
291,106.76500000000091,20,20,11,86.76500000000091
292,110.08000000000108,18,18,12,92.08000000000108
293,109.29000000000119,16,16,14,93.29000000000119
294,112.44600000000136,16,16,15,96.44600000000136
295,114.55900000000153,17,17,16,97.55900000000153
296,118.57500000000171,18,18,17,100.57500000000171
297,122.57200000000182,19,19,17,103.57200000000182
298,129.56900000000198,21,21,17,108.56900000000198
299,124.5290000000012,21,21,18,103.5290000000012
300,128.4670000000013,18,18,18,110.46700000000128
301,131.36500000000143,14,14,19,117.36500000000142
302,123.30100000000078,10,10,19,113.30100000000078
